Date,Close
2011-06-30,381.48
2011-07-01,393.68
2011-07-04,387.93
2011-07-05,388.72
2011-07-06,375.43
2011-07-07,379.0
2011-07-08,369.08
2011-07-11,354.31
2011-07-12,356.98
2011-07-13,352.32
2011-07-14,351.43
2011-07-15,348.06
2011-07-18,327.03
2011-07-19,328.22
2011-07-20,338.34
2011-07-21,357.58
2011-07-22,365.61
2011-07-25,359.86
2011-07-26,358.77
2011-07-27,347.26
2011-07-28,359.86
2011-07-29,354.01
2011-08-01,338.73
2011-08-02,331.19
2011-08-03,319.69
2011-08-04,300.35
2011-08-05,279.52
2011-08-08,270.39
2011-08-09,259.98
2011-08-10,240.93
2011-08-11,250.65
2011-08-12,262.75
2011-08-15,259.78
2011-08-16,255.21
2011-08-17,245.49
2011-08-18,228.14
2011-08-19,206.02
2011-08-22,195.11
2011-08-23,198.38
2011-08-24,216.93
2011-08-25,228.93
2011-08-26,217.03
2011-08-30,234.48
2011-08-31,240.73
2011-09-01,260.37
2011-09-02,246.39
2011-09-05,216.04
2011-09-06,209.98
2011-09-07,222.78
2011-09-08,225.56
2011-09-09,213.26
2011-09-12,206.02
2011-09-13,217.03
2011-09-14,226.15
2011-09-15,235.28
2011-09-16,240.73
2011-09-19,226.95
2011-09-20,229.03
2011-09-21,231.91
2011-09-22,218.71
2011-09-23,226.45
2011-09-26,233.79
2011-09-27,248.07
2011-09-28,239.05
2011-09-29,243.01
2011-09-30,233.0
2011-10-03,222.78
2011-10-04,213.46
2011-10-05,224.17
2011-10-06,241.63
2011-10-07,234.29
2011-10-10,244.11
2011-10-11,250.95
2011-10-12,256.01
2011-10-13,239.64
2011-10-14,240.63
2011-10-17,238.75
2011-10-18,235.48
2011-10-19,242.72
2011-10-20,234.39
2011-10-21,242.32
2011-10-24,247.58
2011-10-25,248.87
2011-10-26,245.79
2011-10-27,270.49
2011-10-28,260.77
2011-10-31,240.34
2011-11-01,220.99
2011-11-02,229.33
2011-11-03,226.15
2011-11-04,229.03
2011-11-07,220.7
2011-11-08,221.49
2011-11-09,209.19
2011-11-10,209.39
2011-11-11,222.78
2011-11-14,217.62
2011-11-15,210.58
2011-11-16,209.29
2011-11-17,203.34
2011-11-18,204.03
2011-11-21,194.01
2011-11-22,182.71
2011-11-23,171.99
2011-11-24,178.24
2011-11-25,185.88
2011-11-28,195.8
2011-11-29,193.62
2011-11-30,208.2
2011-12-01,203.83
2011-12-02,214.55
2011-12-05,225.85
2011-12-06,224.07
2011-12-07,219.61
2011-12-08,207.5
2011-12-09,218.12
2011-12-12,203.93
2011-12-13,202.35
2011-12-14,193.42
2011-12-15,194.81
2011-12-16,198.38
2011-12-19,192.43
2011-12-20,195.11
2011-12-21,196.59
2011-12-22,204.43
2011-12-23,203.74
2011-12-28,196.89
2011-12-29,199.47
2011-12-30,200.16
2012-01-03,208.4
2012-01-04,205.92
2012-01-05,201.06
2012-01-06,203.44
